ID;AREA;TM;TBP;HLM;EE;DI;TE;DA;AE;AR;RUE
127;N1;52,14;59,83;57,03;58,28;21,48;73,20;99,70;57,52;61,54;96,00
128;N1;60,04;60,79;65,16;60,79;23,58;84,34;99,70;66,94;71,91;96,03
129;N1;64,22;71,01;68,34;68,30;61,89;62,55;76,83;51,00;53,47;74,23
130;N1;63,69;68,16;67,67;48,09;24,37;74,24;37,36;57,93;62,47;35,63
131;N1;88,66;97,77;95,68;85,35;81,42;76,73;70,56;58,54;65,66;67,63
132;N1;85,03;90,61;88,56;85,23;69,59;67,37;99,70;52,51;56,08;96,11
133;N1;62,22;65,51;67,21;54,99;40,33;47,01;52,62;35,72;39,90;50,52
134;N1;54,59;58,85;60,24;57,99;16,98;53,92;99,70;43,57;44,96;96,47
135;N1;37,18;41,87;41,70;45,11;8,27;56,86;95,56;43,00;47,62;92,56
136;N1;37,19;43,99;41,17;30,05;23,81;81,49;13,94;64,99;68,77;13,50
137;N1;65,45;69,63;68,09;70,34;58,72;59,96;;49,07;52,10;88,51
138;N1;92,86;98,60;96,40;90,74;80,92;65,60;91,45;50,16;55,49;88,16
139;N1;76,97;81,07;79,20;62,66;77,66;66,11;16,08;52,15;55,23;14,90
140;N1;58,47;67,54;67,76;65,89;36,34;;96,91;35,92;38,99;93,56
141;N1;53,43;55,10;56,91;54,59;24,40;58,84;86,15;46,99;49,49;83,30
142;N1;85,25;93,83;89,73;84,63;76,13;59,10;85,97;46,11;49,81;82,83
143;N1;72,82;76,20;75,21;67,50;25,23;72,06;99,70;55,59;62,30;96,04
144;N1;79,63;82,55;83,05;72,12;70,58;68,54;58,10;54,04;58,87;56,04
145;N1;50,55;60,40;59,43;64,63;53,36;73,98;89,20;58,43;63,56;85,81
146;N1;56,85;66,14;65,43;56,96;21,83;57,34;77,17;47,87;49,58;74,72
147;N1;75,51;77,89;76,97;67,27;50,71;68,42;68,31;52,99;58,83;65,87
148;N1;57,06;60,79;62,21;47,74;11,33;77,21;62,78;58,28;66,74;60,07
149;N1;81,95;86,21;85,06;84,67;73,67;45,74;99,70;36,63;39,48;95,91
150;N1;75,21;78,72;79,94;75,34;49,16;68,82;99,82;54,49;58,89;96,58
151;N1;61,51;65,80;63,88;50,45;52,23;61,19;23,22;46,22;52,65;22,02
152;N1;53,56;60,06;58,88;61,46;33,35;61,04;99,70;48,76;52,52;96,31
153;N1;66,29;75,86;75,92;58,20;35,15;67,44;51,95;52,09;57,29;49,66
154;N1;91,29;92,24;93,24;75,31;72,87;72,79;45,91;56,47;62,71;44,10
155;N1;78,94;85,22;83,92;80,38;58,67;83,67;99,70;66,62;72,34;96,24
156;N1;72,60;74,55;76,15;79,93;74,16;57,63;99,70;43,62;48,03;96,01
157;N1;62,93;65,32;67,05;63,66;29,08;61,40;99,70;49,37;52,05;96,56
158;N1;62,86;70,14;68,40;61,90;;62,61;51,78;49,06;53,88;49,28
159;N1;79,93;86,00;87,76;73,06;53,70;61,06;70,57;49,25;50,36;68,07
160;N1;66,73;69,44;73,02;65,06;51,45;62,43;69,18;49,66;53,54;66,82
161;N1;61,18;62,97;66,46;61,49;44,98;62,00;75,09;47,29;52,52;72,60
162;N1;63,33;73,53;69,09;61,60;35,89;81,37;71,07;65,14;68,62;68,36
163;N1;62,92;63,99;65,43;60,88;36,72;77,04;84,47;62,01;66,29;81,19
164;N1;78,28;85,78;84,50;78,19;74,82;80,64;70,70;61,91;69,45;68,02
165;N1;75,66;85,85;85,34;81,99;62,96;74,64;99,70;56,44;62,86;96,07
166;N1;66,32;73,31;73,98;73,09;50,74;51,22;99,70;41,51;41,97;96,68
167;N1;71,54;77,70;74,74;59,15;46,50;81,29;39,66;61,06;69,27;38,29
168;N1;63,80;73,53;70,78;55,72;38,75;63,84;42,65;52,68;55,39;40,57
169;N1;71,23;72,53;74,68;76,11;63,06;56,86;99,70;44,49;48,83;96,58
170;N1;68,48;73,69;71,51;49,29;28,25;68,89;28,64;53,29;59,63;26,92
171;N1;67,56;73,03;71,63;65,20;20,82;68,67;99,11;53,65;57,55;95,39
172;N1;74,45;83,11;82,03;74,20;35,66;58,55;99,70;46,15;48,97;96,45
173;N1;65,72;76,12;75,78;59,20;49,19;52,78;39,77;40,26;44,35;37,61
174;N1;73,70;77,32;75,68;59,85;26,68;67,87;65,43;55,90;58,35;62,84
175;N1;71,23;75,57;76,91;58,85;72,63;62,86;12,57;51,90;54,23;11,63
176;N1;54,33;63,61;59,85;50,86;58,98;80,38;25,64;64,69;67,71;24,19
177;N1;60,49;63,85;67,05;64,98;36,10;59,91;99,70;45,96;51,50;96,62
178;N1;66,34;71,02;72,67;68,33;37,79;51,78;97,07;43,79;42,70;93,67
179;N1;58,93;60,35;63,28;67,34;50,37;58,82;99,70;45,73;48,72;96,69
180;N1;59,55;60,50;64,49;52,36;47,49;70,00;39,54;55,57;59,88;37,46
181;N1;55,84;65,81;62,46;63,92;38,75;64,61;93,12;49,57;54,82;89,98
