"ID";"Edad";"Sexo";"NivelEducacion";"EstadoCivil";"NivelSocEco";"HorasLogeadas";"HorasHabladas";"ContactosEfectivosPromedio";"RegistrosTerminados";"ProdMayorUbral";"ProdPromAprobada"
203;34;"m";"ts";"c";"e";146.935;22.265;0;0;"no";142670
204;29;"f";"ts";"s";"e";124.83;30.275;0;0;"si";202530
205;26;"f";"ts";"s";"c3c4";137.41;39.815;125.5;791;"no";125625
206;28;"f";"em";"s";"e";38.92;10.785;81.5;89.5;"no";28399
207;37;"f";"em";"s";"c3c4";99.526;30.496;172.5;212.5;"no";64078
208;49;"f";"ts";"s";"c3c4";18.2;5.07;39;65;"no";10000
209;36;"m";"un";"s";"c2";106.78;63.33;258;571;"si";161250
210;24;"m";"em";"s";"c2";123.27;29.04;150;427;"no";112500
211;45;"f";"un";"s";"c3c4";156.756;50.777;21;48.5;"no";145156
212;34;"m";"ts";"s";"c2";24.14;3.75;9;26;"no";0
213;31;"f";"em";"c";"e";89.871;29.619;204;294;"no";101683
214;39;"f";"em";"c";"c3c4";112.6365;40.6155;170;201;"si";167356.5
215;29;"f";"em";"s";"e";146.455;45.81;377;741;"no";79250
216;26;"f";"em";"c";"c3c4";50.52;19.23;73;142;"no";37500
217;25;"m";"em";"s";"c3c4";23.77;6.39;27;65;"no";3000
218;29;"m";"em";"s";"c3c4";127.85;32.67;303;711;"no";77000
219;38;"f";"em";"s";"e";130.64;35.75;199.5;535.5;"no";88500
220;44;"f";"ts";"s";"c3c4";157.965;82.3;296;660.5;"si";276750
221;30;"f";"em";"s";"c3c4";142.875;67.77;278.5;988;"no";41000
222;36;"m";"un";"s";"e";89.81333333;17.73333333;209.3333333;300.3333333;"no";77012.33
223;26;"m";"em";"s";"e";142.85;66.47;101;712;"no";55500
224;38;"f";"un";"s";"abc1";94.94333333;22.46;108.3333333;606;"si";180000
225;28;"f";"ts";"s";"c2";80.72;21.84;19;109;"no";91000
226;24;"f";"un";"s";"abc1";84.69;17.93;106;436;"no";13000
227;23;"m";"un";"s";"c3c4";132.63;25;101;445;"si";250000
228;45;"m";"em";"s";"c3c4";136.54;89.11333333;271.3333333;966.6666667;"si";178250
229;36;"f";"ts";"c";"e";125.22;60.03;329.5;824.5;"no";93750
230;37;"m";"ts";"s";"c3c4";160.5;80.185;260.5;748;"no";158250
231;36;"f";"ts";"c";"c3c4";173.95;63.89;552;632;"si";355000
232;36;"f";"em";"s";"e";108.785;32.32;184.75;271.5;"no";129875
233;28;"f";"ts";"s";"c3c4";155.6525;37.5925;216.5;636.5;"no";47639
